start_point1,start_point2,rho,error
0.8,0.5000000000000002,1e-05,6.434469623783912e-11
-1.2,0.6000000000000001,1e-05,0.16984021149436163
0.8,0.6000000000000001,1e-05,6.732328361458428e-09
-1.2,0.7000000000000002,1e-05,0.2698398988833532
0.8,0.7000000000000002,1e-05,1.2473805321988607e-09
-1.2,0.8,1e-05,0.36983872204857876
0.8,-1.2,1e-07,1.7214007996813052e-13
-1.2,-1.0999999999999999,1e-07,1.1102230246251565e-16
0.8,-1.0999999999999999,1e-07,1.7208456881689926e-13
-1.2,-1.0,1e-07,4.496403249731884e-15
0.8,-1.0,1e-07,1.72029057665668e-13
-1.2,-0.8999999999999999,1e-07,2.0261570199409107e-14
0.8,-0.8999999999999999,1e-07,1.7180701306074297e-13
-1.2,-0.7999999999999999,1e-07,1.5765166949677223e-14
0.8,-0.7999999999999999,1e-07,1.7147394615335543e-13
-1.2,-0.7,1e-07,2.275957200481571e-15
0.8,-0.7,1e-07,1.705857677336553e-13
-1.2,-0.5999999999999999,1e-07,5.551115123125783e-17
0.8,-0.5999999999999999,1e-07,1.684763439868675e-13
-1.2,-0.4999999999999999,1e-07,1.4030998585212728e-12
0.8,-0.4999999999999999,1e-07,1.6292522886374172e-13
-1.2,-0.3999999999999999,1e-07,2.886579864025407e-15
0.8,-0.3999999999999999,1e-07,1.4799272918253337e-13
-1.2,-0.29999999999999993,1e-07,1.90475413219815e-12
0.8,-0.29999999999999993,1e-07,1.0669243266647754e-13
-1.2,-0.19999999999999996,1e-07,5.551115123125783e-17
0.8,-0.19999999999999996,1e-07,2.6700863742235015e-14
-1.2,-0.09999999999999987,1e-07,1.609823385706477e-15
0.8,-0.09999999999999987,1e-07,0.0
-1.2,2.220446049250313e-16,1e-07,1.8318679906315083e-15
0.8,2.220446049250313e-16,1e-07,1.8424151093654473e-13
-1.2,0.10000000000000009,1e-07,5.551115123125783e-17
0.8,0.10000000000000009,1e-07,2.120525977034049e-13
-1.2,0.20000000000000018,1e-07,2.657873920952625e-13
0.8,0.20000000000000018,1e-07,3.3306690738754696e-16
-1.2,0.30000000000000004,1e-07,0.13015965703815813
0.8,0.30000000000000004,1e-07,1.2378986724570495e-14
-1.2,0.40000000000000013,1e-07,0.03015970473141788
0.8,0.40000000000000013,1e-07,2.8144153674247718e-14
-1.2,0.5000000000000002,1e-07,0.0698402792479928
0.8,0.5000000000000002,1e-07,5.551115123125783e-17
-1.2,0.6000000000000001,1e-07,0.16984021149436163
0.8,0.6000000000000001,1e-07,6.261657858885883e-14
-1.2,0.7000000000000002,1e-07,1.0186296250935811e-13
0.8,0.7000000000000002,1e-07,4.9404924595819466e-15
-1.2,0.8,1e-07,1.7219559111936178e-13
0.8,-1.2,1e-10,0.0
-1.2,-1.0999999999999999,1e-10,0.0
0.8,-1.0999999999999999,1e-10,5.551115123125783e-17
-1.2,-1.0,1e-10,0.0
0.8,-1.0,1e-10,0.0
-1.2,-0.8999999999999999,1e-10,0.0
0.8,-0.8999999999999999,1e-10,0.0
-1.2,-0.7999999999999999,1e-10,5.551115123125783e-17
0.8,-0.7999999999999999,1e-10,0.0
-1.2,-0.7,1e-10,0.0
0.8,-0.7,1e-10,0.0
-1.2,-0.5999999999999999,1e-10,5.551115123125783e-17
0.8,-0.5999999999999999,1e-10,0.0
-1.2,-0.4999999999999999,1e-10,5.551115123125783e-17
0.8,-0.4999999999999999,1e-10,0.0
-1.2,-0.3999999999999999,1e-10,5.551115123125783e-17
0.8,-0.3999999999999999,1e-10,0.0
-1.2,-0.29999999999999993,1e-10,0.0
0.8,-0.29999999999999993,1e-10,0.0
-1.2,-0.19999999999999996,1e-10,5.551115123125783e-17
0.8,-0.19999999999999996,1e-10,0.0
-1.2,-0.09999999999999987,1e-10,0.0
0.8,-0.09999999999999987,1e-10,0.0
-1.2,2.220446049250313e-16,1e-10,0.0
0.8,2.220446049250313e-16,1e-10,0.0
-1.2,0.10000000000000009,1e-10,5.551115123125783e-17
0.8,0.10000000000000009,1e-10,5.551115123125783e-17
-1.2,0.20000000000000018,1e-10,5.551115123125783e-17
0.8,0.20000000000000018,1e-10,0.0
-1.2,0.30000000000000004,1e-10,0.0
0.8,0.30000000000000004,1e-10,0.0
-1.2,0.40000000000000013,1e-10,0.0
0.8,0.40000000000000013,1e-10,0.0
-1.2,0.5000000000000002,1e-10,0.0
0.8,0.5000000000000002,1e-10,5.551115123125783e-17
-1.2,0.6000000000000001,1e-10,0.0
0.8,0.6000000000000001,1e-10,5.551115123125783e-17
-1.2,0.7000000000000002,1e-10,0.0
0.8,0.7000000000000002,1e-10,0.0
-1.2,0.8,1e-10,0.0
0.8,-1.2,1e-15,
-1.2,-1.0999999999999999,1e-15,0.0
0.8,-1.0999999999999999,1e-15,
-1.2,-1.0,1e-15,
0.8,-1.0,1e-15,
-1.2,-0.8999999999999999,1e-15,
0.8,-0.8999999999999999,1e-15,
-1.2,-0.7999999999999999,1e-15,
0.8,-0.7999999999999999,1e-15,
-1.2,-0.7,1e-15,
0.8,-0.7,1e-15,
-1.2,-0.5999999999999999,1e-15,
0.8,-0.5999999999999999,1e-15,
-1.2,-0.4999999999999999,1e-15,
0.8,-0.4999999999999999,1e-15,
-1.2,-0.3999999999999999,1e-15,
0.8,-0.3999999999999999,1e-15,
-1.2,-0.29999999999999993,1e-15,
0.8,-0.29999999999999993,1e-15,
-1.2,-0.19999999999999996,1e-15,
0.8,-0.19999999999999996,1e-15,
-1.2,-0.09999999999999987,1e-15,
0.8,-0.09999999999999987,1e-15,
-1.2,2.220446049250313e-16,1e-15,
0.8,2.220446049250313e-16,1e-15,
-1.2,0.10000000000000009,1e-15,
0.8,0.10000000000000009,1e-15,
-1.2,0.20000000000000018,1e-15,
0.8,0.20000000000000018,1e-15,0.0
-1.2,0.30000000000000004,1e-15,
0.8,0.30000000000000004,1e-15,
-1.2,0.40000000000000013,1e-15,
0.8,0.40000000000000013,1e-15,
-1.2,0.5000000000000002,1e-15,0.0
0.8,0.5000000000000002,1e-15,
-1.2,0.6000000000000001,1e-15,
0.8,0.6000000000000001,1e-15,
-1.2,0.7000000000000002,1e-15,
0.8,0.7000000000000002,1e-15,
-1.2,0.8,1e-15,
