start_point1,start_point2,rho,error
-1.2,-0.8999999999999999,1e-05,0.00039904696994869093
0.8,-0.8999999999999999,1e-05,7.670063565057283e-06
-1.2,-0.7999999999999999,1e-05,0.0003764988621896004
0.8,-0.7999999999999999,1e-05,7.666379728765715e-06
-1.2,-0.7,1e-05,0.00024079701380075313
0.8,-0.7,1e-05,7.657846452291395e-06
-1.2,-0.5999999999999999,1e-05,9.837634725801125e-05
0.8,-0.5999999999999999,1e-05,7.636803996513564e-06
-1.2,-0.4999999999999999,1e-05,2.2116259944526817e-05
0.8,-0.4999999999999999,1e-05,7.580187179334619e-06
-1.2,-0.3999999999999999,1e-05,0.0002538598493442845
0.8,-0.3999999999999999,1e-05,7.406504013263149e-06
-1.2,-0.29999999999999993,1e-05,2.486083411074036e-05
0.8,-0.29999999999999993,1e-05,0.0009302368148246254
-1.2,-0.19999999999999996,1e-05,0.00010907959115075139
0.8,-0.19999999999999996,1e-05,0.0005507512928709657
-1.2,-0.09999999999999987,1e-05,0.00022305686833362648
0.8,-0.09999999999999987,1e-05,4.8782409507674984e-05
-1.2,2.220446049250313e-16,1e-05,0.00022924625213899263
0.8,2.220446049250313e-16,1e-05,5.379213223966062e-06
-1.2,0.10000000000000009,1e-05,0.00010275626796174553
0.8,0.10000000000000009,1e-05,8.200023554172375e-06
-1.2,0.20000000000000018,1e-05,0.0007177814604004129
0.8,0.20000000000000018,1e-05,0.00016085676508870161
-1.2,0.30000000000000004,1e-05,3.313941154631239e-05
0.8,0.30000000000000004,1e-05,0.0003548389557766485
-1.2,0.40000000000000013,1e-05,0.0005741319256071242
0.8,0.40000000000000013,1e-05,0.0005068402359556523
-1.2,0.5000000000000002,1e-05,0.00010834469514814371
0.8,0.5000000000000002,1e-05,7.686498665848696e-05
-1.2,0.6000000000000001,1e-05,7.625746361317187e-06
0.8,0.6000000000000001,1e-05,0.0007504757200560985
-1.2,0.7000000000000002,1e-05,4.522749335711396e-06
0.8,0.7000000000000002,1e-05,0.0003188969341805792
-1.2,0.8,1e-05,7.673175740297022e-06
0.8,-1.2,1e-07,7.672912442746593e-06
-1.2,-1.0999999999999999,1e-07,6.065374112962374e-07
0.8,-1.0999999999999999,1e-07,7.672524761637156e-06
-1.2,-1.0,1e-07,2.4545808220977072e-06
0.8,-1.0,1e-07,7.671734510661388e-06
-1.2,-0.8999999999999999,1e-07,4.370334147130173e-06
0.8,-0.8999999999999999,1e-07,7.670063565057283e-06
-1.2,-0.7999999999999999,1e-07,3.967128795079322e-06
0.8,-0.7999999999999999,1e-07,7.666379728765715e-06
-1.2,-0.7,1e-07,1.893436434974305e-06
0.8,-0.7,1e-07,7.657846452291395e-06
-1.2,-0.5999999999999999,1e-07,4.379238616181169e-07
0.8,-0.5999999999999999,1e-07,7.636803996513564e-06
-1.2,-0.4999999999999999,1e-07,3.9188868705686275e-08
0.8,-0.4999999999999999,1e-07,7.580187179334619e-06
-1.2,-0.3999999999999999,1e-07,2.065680360874289e-06
0.8,-0.3999999999999999,1e-07,7.406504013263149e-06
-1.2,-0.29999999999999993,1e-07,4.732201941415326e-08
0.8,-0.29999999999999993,1e-07,6.772948011601887e-06
-1.2,-0.19999999999999996,1e-07,5.180465832976822e-07
0.8,-0.19999999999999996,1e-07,4.36225685152003e-06
-1.2,-0.09999999999999987,1e-07,1.6693307170467797e-06
0.8,-0.09999999999999987,1e-07,2.657324262855809e-07
-1.2,2.220446049250313e-16,1e-07,1.7462427743808462e-06
0.8,2.220446049250313e-16,1e-07,5.379213223966062e-06
-1.2,0.10000000000000009,1e-07,4.7011434339827574e-07
0.8,0.10000000000000009,1e-07,8.200023554172375e-06
-1.2,0.20000000000000018,1e-07,1.404773192215103e-08
0.8,0.20000000000000018,1e-07,9.293162957502155e-07
-1.2,0.30000000000000004,1e-07,7.437109189600832e-08
0.8,0.30000000000000004,1e-07,3.62321394370424e-06
-1.2,0.40000000000000013,1e-07,5.519733843328822e-06
0.8,0.40000000000000013,1e-07,4.5532525597691276e-06
-1.2,0.5000000000000002,1e-07,7.775919270702758e-07
0.8,0.5000000000000002,1e-07,5.195408880331875e-07
-1.2,0.6000000000000001,1e-07,7.625746361317187e-06
0.8,0.6000000000000001,1e-07,5.752479605269922e-06
-1.2,0.7000000000000002,1e-07,4.522749335711396e-06
0.8,0.7000000000000002,1e-07,2.4559844909455286e-06
-1.2,0.8,1e-07,7.673175740297022e-06
0.8,-1.2,1e-10,1.7214007996813052e-13
-1.2,-1.0999999999999999,1e-10,1.1855194603782593e-10
0.8,-1.0999999999999999,1e-10,1.7208456881689926e-13
-1.2,-1.0,1e-10,1.133906468719914e-09
0.8,-1.0,1e-10,1.72029057665668e-13
-1.2,-0.8999999999999999,1e-10,2.8747086933123e-09
0.8,-0.8999999999999999,1e-10,1.7180701306074297e-13
-1.2,-0.7999999999999999,1e-10,2.4593899694558274e-09
0.8,-0.7999999999999999,1e-10,1.7147394615335543e-13
-1.2,-0.7,1e-10,7.458818562788849e-10
0.8,-0.7,1e-10,1.705857677336553e-13
-1.2,-0.5999999999999999,1e-10,6.999906210225504e-11
0.8,-0.5999999999999999,1e-10,1.684763439868675e-13
-1.2,-0.4999999999999999,1e-10,1.4030998585212728e-12
0.8,-0.4999999999999999,1e-10,1.6292522886374172e-13
-1.2,-0.3999999999999999,1e-10,8.584145616552519e-10
0.8,-0.3999999999999999,1e-10,1.4799272918253337e-13
-1.2,-0.29999999999999993,1e-10,1.90475413219815e-12
0.8,-0.29999999999999993,1e-10,1.0669243266647754e-13
-1.2,-0.19999999999999996,1e-10,9.186257310389578e-11
0.8,-0.19999999999999996,1e-10,3.783578061966608e-09
-1.2,-0.09999999999999987,1e-10,6.086353643297571e-10
0.8,-0.09999999999999987,1e-10,2.0914769915947318e-11
-1.2,2.220446049250313e-16,1e-10,6.545379238609428e-10
0.8,2.220446049250313e-16,1e-10,1.8424151093654473e-13
-1.2,0.10000000000000009,1e-10,7.850659011765515e-11
0.8,0.10000000000000009,1e-10,2.120525977034049e-13
-1.2,0.20000000000000018,1e-10,2.657873920952625e-13
0.8,0.20000000000000018,1e-10,2.436164048269518e-10
