start_point1,start_point2,rho,value
-1.2,-0.8999999999999999,1e-07,0.43015970900192646
0.8,-0.8999999999999999,1e-07,0.43015970900211853
-1.2,-0.7999999999999999,1e-07,0.43015970900193096
0.8,-0.7999999999999999,1e-07,0.4301597090021182
-1.2,-0.7,1e-07,0.43015970900194445
0.8,-0.7,1e-07,0.4301597090021173
-1.2,-0.5999999999999999,1e-07,0.43015970900194667
0.8,-0.5999999999999999,1e-07,0.4301597090021152
-1.2,-0.4999999999999999,1e-07,0.4301597090005436
0.8,-0.4999999999999999,1e-07,0.43015970900210965
-1.2,-0.3999999999999999,1e-07,0.43015970900194384
0.8,-0.3999999999999999,1e-07,0.4301597090020947
-1.2,-0.29999999999999993,1e-07,0.43015970900004197
0.8,-0.29999999999999993,1e-07,0.4301597090020534
-1.2,-0.19999999999999996,1e-07,0.43015970900194667
0.8,-0.19999999999999996,1e-07,0.4301597090019734
-1.2,-0.09999999999999987,1e-07,0.4301597090019451
0.8,-0.09999999999999987,1e-07,0.4301597090019467
-1.2,2.220446049250313e-16,1e-07,0.4301597090019449
0.8,2.220446049250313e-16,1e-07,0.43015970900213096
-1.2,0.10000000000000009,1e-07,0.43015970900194667
0.8,0.10000000000000009,1e-07,0.4301597090021588
-1.2,0.20000000000000018,1e-07,0.43015970900168093
0.8,0.20000000000000018,1e-07,0.4301597090019464
-1.2,0.30000000000000004,1e-07,0.3000000519637886
0.8,0.30000000000000004,1e-07,0.43015970900193434
-1.2,0.40000000000000013,1e-07,0.40000000427052884
0.8,0.40000000000000013,1e-07,0.4301597090019186
-1.2,0.5000000000000002,1e-07,0.4999999882499395
0.8,0.5000000000000002,1e-07,0.4301597090019468
-1.2,0.6000000000000001,1e-07,0.5999999204963083
0.8,0.6000000000000001,1e-07,0.43015970900200934
-1.2,0.7000000000000002,1e-07,0.4301597090020486
0.8,0.7000000000000002,1e-07,0.43015970900195166
-1.2,0.8,1e-07,0.4301597090021189
0.8,-1.2,1e-10,0.4301597090019467
-1.2,-1.0999999999999999,1e-10,0.4301597090019467
0.8,-1.0999999999999999,1e-10,0.4301597090019468
-1.2,-1.0,1e-10,0.4301597090019467
0.8,-1.0,1e-10,0.4301597090019467
-1.2,-0.8999999999999999,1e-10,0.4301597090019467
0.8,-0.8999999999999999,1e-10,0.4301597090019467
-1.2,-0.7999999999999999,1e-10,0.4301597090019468
0.8,-0.7999999999999999,1e-10,0.4301597090019467
-1.2,-0.7,1e-10,0.4301597090019467
0.8,-0.7,1e-10,0.4301597090019467
-1.2,-0.5999999999999999,1e-10,0.43015970900194667
0.8,-0.5999999999999999,1e-10,0.4301597090019467
-1.2,-0.4999999999999999,1e-10,0.4301597090019468
0.8,-0.4999999999999999,1e-10,0.4301597090019467
-1.2,-0.3999999999999999,1e-10,0.4301597090019468
0.8,-0.3999999999999999,1e-10,0.4301597090019467
-1.2,-0.29999999999999993,1e-10,0.4301597090019467
0.8,-0.29999999999999993,1e-10,0.4301597090019467
-1.2,-0.19999999999999996,1e-10,0.43015970900194667
0.8,-0.19999999999999996,1e-10,0.4301597090019467
-1.2,-0.09999999999999987,1e-10,0.4301597090019467
0.8,-0.09999999999999987,1e-10,0.4301597090019467
-1.2,2.220446049250313e-16,1e-10,0.4301597090019467
0.8,2.220446049250313e-16,1e-10,0.4301597090019467
-1.2,0.10000000000000009,1e-10,0.43015970900194667
0.8,0.10000000000000009,1e-10,0.4301597090019468
-1.2,0.20000000000000018,1e-10,0.4301597090019468
0.8,0.20000000000000018,1e-10,0.4301597090019467
-1.2,0.30000000000000004,1e-10,0.4301597090019467
0.8,0.30000000000000004,1e-10,0.4301597090019467
-1.2,0.40000000000000013,1e-10,0.4301597090019467
0.8,0.40000000000000013,1e-10,0.4301597090019467
-1.2,0.5000000000000002,1e-10,0.4301597090019467
0.8,0.5000000000000002,1e-10,0.4301597090019468
-1.2,0.6000000000000001,1e-10,0.4301597090019467
0.8,0.6000000000000001,1e-10,0.4301597090019468
-1.2,0.7000000000000002,1e-10,0.4301597090019467
0.8,0.7000000000000002,1e-10,0.4301597090019467
-1.2,0.8,1e-10,0.4301597090019467
0.8,-1.2,1e-15,
-1.2,-1.0999999999999999,1e-15,0.4301597090019467
0.8,-1.0999999999999999,1e-15,
-1.2,-1.0,1e-15,
0.8,-1.0,1e-15,
-1.2,-0.8999999999999999,1e-15,
0.8,-0.8999999999999999,1e-15,
-1.2,-0.7999999999999999,1e-15,
0.8,-0.7999999999999999,1e-15,
-1.2,-0.7,1e-15,
0.8,-0.7,1e-15,
-1.2,-0.5999999999999999,1e-15,
0.8,-0.5999999999999999,1e-15,
-1.2,-0.4999999999999999,1e-15,
0.8,-0.4999999999999999,1e-15,
-1.2,-0.3999999999999999,1e-15,
0.8,-0.3999999999999999,1e-15,
-1.2,-0.29999999999999993,1e-15,
0.8,-0.29999999999999993,1e-15,
