start_point1,start_point2,rho,value
-1.2,0.40000000000000013,1e-07,0.4301541892681034
0.8,0.40000000000000013,1e-07,0.43015515574938695
-1.2,0.5000000000000002,1e-07,0.43015893141001965
0.8,0.5000000000000002,1e-07,0.4301591894610587
-1.2,0.6000000000000001,1e-07,0.4301520832555854
0.8,0.6000000000000001,1e-07,0.43015395652234145
-1.2,0.7000000000000002,1e-07,0.430155186252611
0.8,0.7000000000000002,1e-07,0.4301572530174558
-1.2,0.8,1e-07,0.4301520358262064
0.8,-1.2,1e-10,0.43015970900211886
-1.2,-1.0999999999999999,1e-10,0.4301597088833948
0.8,-1.0999999999999999,1e-10,0.4301597090021188
-1.2,-1.0,1e-10,0.43015970786804025
0.8,-1.0,1e-10,0.43015970900211875
-1.2,-0.8999999999999999,1e-10,0.43015970612723803
0.8,-0.8999999999999999,1e-10,0.43015970900211853
-1.2,-0.7999999999999999,1e-10,0.43015970654255675
0.8,-0.7999999999999999,1e-10,0.4301597090021182
-1.2,-0.7,1e-10,0.43015970825606487
0.8,-0.7,1e-10,0.4301597090021173
-1.2,-0.5999999999999999,1e-10,0.43015970893194766
0.8,-0.5999999999999999,1e-10,0.4301597090021152
-1.2,-0.4999999999999999,1e-10,0.4301597090005436
0.8,-0.4999999999999999,1e-10,0.43015970900210965
-1.2,-0.3999999999999999,1e-10,0.43015970814353216
0.8,-0.3999999999999999,1e-10,0.4301597090020947
-1.2,-0.29999999999999993,1e-10,0.43015970900004197
0.8,-0.29999999999999993,1e-10,0.4301597090020534
-1.2,-0.19999999999999996,1e-10,0.43015970891008415
0.8,-0.19999999999999996,1e-10,0.4301597127855248
-1.2,-0.09999999999999987,1e-10,0.43015970839331136
0.8,-0.09999999999999987,1e-10,0.4301597090228615
-1.2,2.220446049250313e-16,1e-10,0.4301597083474088
0.8,2.220446049250313e-16,1e-10,0.43015970900213096
-1.2,0.10000000000000009,1e-10,0.43015970892344013
0.8,0.10000000000000009,1e-10,0.4301597090021588
-1.2,0.20000000000000018,1e-10,0.43015970900168093
0.8,0.20000000000000018,1e-10,0.4301597087583303
-1.2,0.30000000000000004,1e-10,0.4301597089979547
0.8,0.30000000000000004,1e-10,0.4301597068871737
-1.2,0.40000000000000013,1e-10,0.4301597037350016
0.8,0.40000000000000013,1e-10,0.4301597051786207
-1.2,0.5000000000000002,1e-10,0.430159709137488
0.8,0.5000000000000002,1e-10,0.4301597090662914
-1.2,0.6000000000000001,1e-10,0.4301597090021529
0.8,0.6000000000000001,1e-10,0.4301597157342751
-1.2,0.7000000000000002,1e-10,0.4301597090020486
0.8,0.7000000000000002,1e-10,0.43015971024932725
-1.2,0.8,1e-10,0.4301597090021189
0.8,-1.2,1e-15,0.4301597090019467
-1.2,-1.0999999999999999,1e-15,0.4301597090019466
0.8,-1.0999999999999999,1e-15,0.4301597090019468
-1.2,-1.0,1e-15,0.4301597090019422
0.8,-1.0,1e-15,0.4301597090019467
-1.2,-0.8999999999999999,1e-15,0.43015970900192646
0.8,-0.8999999999999999,1e-15,0.4301597090019467
-1.2,-0.7999999999999999,1e-15,0.43015970900193096
0.8,-0.7999999999999999,1e-15,0.4301597090019467
-1.2,-0.7,1e-15,0.43015970900194445
0.8,-0.7,1e-15,0.4301597090019467
-1.2,-0.5999999999999999,1e-15,0.43015970900194667
0.8,-0.5999999999999999,1e-15,0.4301597090019467
-1.2,-0.4999999999999999,1e-15,0.4301597090019468
0.8,-0.4999999999999999,1e-15,0.4301597090019467
-1.2,-0.3999999999999999,1e-15,0.43015970900194384
0.8,-0.3999999999999999,1e-15,0.4301597090019467
-1.2,-0.29999999999999993,1e-15,0.4301597090019467
0.8,-0.29999999999999993,1e-15,0.4301597090019467
-1.2,-0.19999999999999996,1e-15,0.43015970900194667
0.8,-0.19999999999999996,1e-15,0.4301597090019734
-1.2,-0.09999999999999987,1e-15,0.4301597090019451
0.8,-0.09999999999999987,1e-15,0.4301597090019467
-1.2,2.220446049250313e-16,1e-15,0.4301597090019449
0.8,2.220446049250313e-16,1e-15,0.4301597090019467
-1.2,0.10000000000000009,1e-15,0.43015970900194667
0.8,0.10000000000000009,1e-15,0.4301597090019468
-1.2,0.20000000000000018,1e-15,0.4301597090019468
0.8,0.20000000000000018,1e-15,0.4301597090019464
-1.2,0.30000000000000004,1e-15,0.4301597090019467
0.8,0.30000000000000004,1e-15,0.43015970900193434
-1.2,0.40000000000000013,1e-15,0.43015970900189976
0.8,0.40000000000000013,1e-15,0.4301597090019186
-1.2,0.5000000000000002,1e-15,0.4301597090019469
0.8,0.5000000000000002,1e-15,0.4301597090019468
-1.2,0.6000000000000001,1e-15,0.4301597090019467
0.8,0.6000000000000001,1e-15,0.43015970900200934
-1.2,0.7000000000000002,1e-15,0.4301597090019467
0.8,0.7000000000000002,1e-15,0.43015970900195166
-1.2,0.8,1e-15,0.4301597090019467
