mode,var_pt,rho,criterion,iterations,error,status
Usztywnione A (-1.2),-0.5,1e-08,res,24,3.9188868705686275e-08,0
Usztywnione A (-1.2),-0.5,1e-09,inc,26,5.551115123125783e-17,0
Usztywnione A (-1.2),-0.5,1e-09,res,24,3.9188868705686275e-08,0
Usztywnione A (-1.2),-0.4,0.01,inc,1,0.8292494110753681,1
Usztywnione A (-1.2),-0.4,0.01,res,15,0.13545630542864234,2
Usztywnione A (-1.2),-0.4,0.001,inc,1,0.8292494110753681,1
Usztywnione A (-1.2),-0.4,0.001,res,18,0.04267776727389411,0
Usztywnione A (-1.2),-0.4,0.0001,inc,23,8.584145616552519e-10,0
Usztywnione A (-1.2),-0.4,0.0001,res,20,0.004159824123712186,0
Usztywnione A (-1.2),-0.4,1e-05,inc,23,8.584145616552519e-10,0
Usztywnione A (-1.2),-0.4,1e-05,res,21,0.00025385984934400696,0
Usztywnione A (-1.2),-0.4,1e-06,inc,24,2.886579864025407e-15,0
Usztywnione A (-1.2),-0.4,1e-06,res,22,2.065680360874289e-06,0
Usztywnione A (-1.2),-0.4,1e-07,inc,24,2.886579864025407e-15,0
Usztywnione A (-1.2),-0.4,1e-07,res,22,2.065680360874289e-06,0
Usztywnione A (-1.2),-0.4,1e-08,inc,24,2.886579864025407e-15,0
Usztywnione A (-1.2),-0.4,1e-08,res,23,8.584145616552519e-10,0
Usztywnione A (-1.2),-0.4,1e-09,inc,24,2.886579864025407e-15,0
Usztywnione A (-1.2),-0.4,1e-09,res,23,8.584145616552519e-10,0
Usztywnione A (-1.2),-0.3,0.01,inc,1,0.7298230155904495,1
Usztywnione A (-1.2),-0.3,0.01,res,13,0.15098159114390175,2
Usztywnione A (-1.2),-0.3,0.001,inc,1,0.7298230155904495,1
Usztywnione A (-1.2),-0.3,0.001,res,16,0.055387939432020805,2
Usztywnione A (-1.2),-0.3,0.0001,inc,21,4.732201946966441e-08,0
Usztywnione A (-1.2),-0.3,0.0001,res,19,0.001116194249457969,0
Usztywnione A (-1.2),-0.3,1e-05,inc,22,1.904809643349381e-12,0
Usztywnione A (-1.2),-0.3,1e-05,res,20,2.486083411079587e-05,0
Usztywnione A (-1.2),-0.3,1e-06,inc,22,1.904809643349381e-12,0
Usztywnione A (-1.2),-0.3,1e-06,res,20,2.486083411079587e-05,0
Usztywnione A (-1.2),-0.3,1e-07,inc,22,1.904809643349381e-12,0
Usztywnione A (-1.2),-0.3,1e-07,res,21,4.732201946966441e-08,0
Usztywnione A (-1.2),-0.3,1e-08,inc,23,0.0,0
Usztywnione A (-1.2),-0.3,1e-08,res,21,4.732201946966441e-08,0
Usztywnione A (-1.2),-0.3,1e-09,inc,23,0.0,0
Usztywnione A (-1.2),-0.3,1e-09,res,21,4.732201946966441e-08,0
Usztywnione A (-1.2),-0.2,0.01,inc,1,0.6300471326918669,1
Usztywnione A (-1.2),-0.2,0.01,res,11,0.16239088675677088,2
Usztywnione A (-1.2),-0.2,0.001,inc,1,0.6300471326918669,1
Usztywnione A (-1.2),-0.2,0.001,res,15,0.036949598501264225,0
Usztywnione A (-1.2),-0.2,0.0001,inc,20,9.186257310389578e-11,0
Usztywnione A (-1.2),-0.2,0.0001,res,17,0.002600940382886552,0
Usztywnione A (-1.2),-0.2,1e-05,inc,20,9.186257310389578e-11,0
Usztywnione A (-1.2),-0.2,1e-05,res,18,0.00010907959115075139,0
Usztywnione A (-1.2),-0.2,1e-06,inc,20,9.186257310389578e-11,0
Usztywnione A (-1.2),-0.2,1e-06,res,19,5.180465832976822e-07,0
Usztywnione A (-1.2),-0.2,1e-07,inc,21,5.551115123125783e-17,0
Usztywnione A (-1.2),-0.2,1e-07,res,19,5.180465832976822e-07,0
Usztywnione A (-1.2),-0.2,1e-08,inc,21,5.551115123125783e-17,0
Usztywnione A (-1.2),-0.2,1e-08,res,19,5.180465832976822e-07,0
Usztywnione A (-1.2),-0.2,1e-09,inc,21,5.551115123125783e-17,0
Usztywnione A (-1.2),-0.2,1e-09,res,20,9.186257310389578e-11,0
Usztywnione A (-1.2),-0.1,0.01,inc,1,0.5301261371228618,1
