start_point,rho,criterion,iterations,error,status
-0.3,0.01,inc,13,0.0002714763479614857,0
-0.3,0.01,res,9,0.12884535776320305,2
-0.3,0.001,inc,14,1.2227881807103103e-07,0
-0.3,0.001,res,11,0.04044777749929873,0
-0.3,0.0001,inc,15,2.4202861936828413e-14,0
-0.3,0.0001,res,13,0.0002714763479614857,0
-0.3,1e-05,inc,15,2.4202861936828413e-14,0
-0.3,1e-05,res,13,0.0002714763479614857,0
-0.3,1e-06,inc,15,2.4202861936828413e-14,0
-0.3,1e-06,res,14,1.2227881807103103e-07,0
-0.3,1e-07,inc,16,5.551115123125783e-17,0
-0.3,1e-07,res,14,1.2227881807103103e-07,0
-0.3,1e-08,inc,16,5.551115123125783e-17,0
-0.3,1e-08,res,14,1.2227881807103103e-07,0
-0.3,1e-09,inc,16,5.551115123125783e-17,0
-0.3,1e-09,res,15,2.4202861936828413e-14,0
-0.2,0.01,inc,12,0.00011024830501299432,0
-0.2,0.01,res,8,0.1211745290455471,2
-0.2,0.001,inc,13,1.98635151660298e-08,0
-0.2,0.001,res,10,0.03442367867335677,0
-0.2,0.0001,inc,14,6.661338147750939e-16,0
-0.2,0.0001,res,11,0.006515223292990924,0
-0.2,1e-05,inc,14,6.661338147750939e-16,0
-0.2,1e-05,res,12,0.00011024830501299432,0
-0.2,1e-06,inc,14,6.661338147750939e-16,0
-0.2,1e-06,res,13,1.98635151660298e-08,0
-0.2,1e-07,inc,14,6.661338147750939e-16,0
-0.2,1e-07,res,13,1.98635151660298e-08,0
-0.2,1e-08,inc,15,5.551115123125783e-17,0
-0.2,1e-08,res,13,1.98635151660298e-08,0
-0.2,1e-09,inc,15,5.551115123125783e-17,0
-0.2,1e-09,res,13,1.98635151660298e-08,0
-0.1,0.01,inc,11,1.9918613722080813e-05,0
-0.1,0.01,res,6,0.15729394663709234,2
-0.1,0.001,inc,12,6.428355070475789e-10,0
-0.1,0.001,res,9,0.02528874039406498,0
-0.1,0.0001,inc,12,6.428355070475789e-10,0
-0.1,0.0001,res,10,0.003087382821088336,0
-0.1,1e-05,inc,13,0.0,0
-0.1,1e-05,res,11,1.9918613722080813e-05,0
-0.1,1e-06,inc,13,0.0,0
-0.1,1e-06,res,11,1.9918613722080813e-05,0
-0.1,1e-07,inc,13,0.0,0
-0.1,1e-07,res,12,6.428355070475789e-10,0
